6985	32
0	1	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0	5023	1274.000000	1.#INF00	0.000000	0.000000	-260.883156	-323.883156	-269.883156	-131.883156	-48.883156	-121.883156	-335.883156	-601.883156	-821.883156	-926.883156	-892.883156	-754.883156	-591.883156	-493.883156	-477.883156	-472.883156	-400.883156	-252.883156	-73.883156	85.116844	189.116844	244.116844	279.116844	308.116844	298.116844	215.116844	104.116844	58.116844	117.116844	223.116844	303.116844	347.116844
0	0	5050	2051.000000	1.#INF00	0.000000	0.000000	180.116844	210.116844	221.116844	200.116844	147.116844	54.116844	-112.883156	-388.883156	-752.883156	-1091.883156	-1239.883156	-1106.883156	-752.883156	-349.883156	-56.883156	78.116844	108.116844	112.116844	149.116844	252.116844	413.116844	577.116844	669.116844	657.116844	592.116844	572.116844	636.116844	726.116844	769.116844	768.116844	778.116844	811.116844
0	0	5051	1036.000000	1.#INF00	0.000000	0.000000	-256.883156	-93.883156	12.116844	-9.883156	-145.883156	-332.883156	-528.883156	-698.883156	-764.883156	-642.883156	-352.883156	-30.883156	192.116844	271.116844	227.116844	101.116844	-31.883156	-87.883156	-47.883156	18.116844	40.116844	12.116844	-4.883156	50.116844	167.116844	256.116844	222.116844	81.116844	-38.883156	-44.883156	28.116844	71.116844
1	1	5054	3465.000000	1.#INF00	0.000000	0.000000	-257.883156	-245.883156	75.116844	608.116844	1128.116844	1298.116844	753.116844	-533.883156	-1938.883156	-2077.883156	-2050.883156	-821.883156	334.116844	953.116844	1119.116844	1171.116844	1286.116844	1387.116844	1361.116844	1218.116844	1061.116844	955.116844	887.116844	817.116844	735.116844	655.116844	583.116844	514.116844	447.116844	369.116844	270.116844	156.116844
0	0	5067	1721.000000	1.#INF00	0.000000	0.000000	291.116844	356.116844	400.116844	362.116844	236.116844	49.116844	-195.883156	-493.883156	-772.883156	-923.883156	-897.883156	-730.883156	-485.883156	-215.883156	20.116844	168.116844	233.116844	276.116844	330.116844	389.116844	458.116844	560.116844	688.116844	786.116844	797.116844	732.116844	637.116844	533.116844	413.116844	285.116844	167.116844	68.116844
1	1	5070	3671.000000	1.#INF00	0.000000	0.000000	-31.883156	46.116844	168.116844	374.116844	656.116844	830.116844	543.116844	-448.883156	-1876.883156	-2077.883156	-2077.883156	-1956.883156	-496.883156	702.116844	1364.116844	1593.116844	1584.116844	1454.116844	1287.116844	1157.116844	1067.116844	955.116844	807.116844	676.116844	591.116844	503.116844	357.116844	159.116844	-23.883156	-126.883156	-128.883156	-64.883156
0	0	5077	1258.000000	1.#INF00	0.000000	0.000000	4.116844	-119.883156	-240.883156	-285.883156	-249.883156	-211.883156	-266.883156	-453.883156	-712.883156	-905.883156	-914.883156	-762.883156	-583.883156	-474.883156	-404.883156	-297.883156	-164.883156	-95.883156	-156.883156	-307.883156	-441.883156	-493.883156	-513.883156	-585.883156	-705.883156	-780.883156	-712.883156	-494.883156	-201.883156	69.116844	257.116844	343.116844
0	0	5082	665.000000	1.#INF00	0.000000	0.000000	-637.883156	-663.883156	-683.883156	-670.883156	-632.883156	-599.883156	-602.883156	-655.883156	-723.883156	-753.883156	-723.883156	-652.883156	-573.883156	-514.883156	-484.883156	-484.883156	-510.883156	-546.883156	-558.883156	-509.883156	-394.883156	-250.883156	-132.883156	-88.883156	-145.883156	-279.883156	-417.883156	-484.883156	-462.883156	-386.883156	-293.883156	-196.883156
0	0	5096	1783.000000	1.#INF00	0.000000	0.000000	-186.883156	-169.883156	-197.883156	-241.883156	-275.883156	-332.883156	-460.883156	-660.883156	-870.883156	-1021.883156	-1068.883156	-996.883156	-798.883156	-486.883156	-110.883156	229.116844	435.116844	501.116844	531.116844	615.116844	714.116844	712.116844	586.116844	442.116844	371.116844	362.116844	373.116844	410.116844	484.116844	551.116844	544.116844	442.116844
0	0	5099	995.000000	1.#INF00	0.000000	0.000000	-178.883156	-246.883156	-354.883156	-431.883156	-438.883156	-438.883156	-514.883156	-659.883156	-756.883156	-691.883156	-472.883156	-240.883156	-116.883156	-79.883156	-33.883156	41.116844	82.116844	54.116844	8.116844	6.116844	30.116844	12.116844	-63.883156	-137.883156	-138.883156	-50.883156	79.116844	176.116844	203.116844	203.116844	223.116844	238.116844
1	1	5102	3657.000000	1.#INF00	0.000000	0.000000	-0.883156	-34.883156	-53.883156	26.116844	279.116844	634.116844	789.116844	300.116844	-1017.883156	-2077.883156	-2077.883156	-2077.883156	-1973.883156	-357.883156	732.116844	1175.116844	1283.116844	1370.116844	1504.116844	1579.116844	1516.116844	1343.116844	1138.116844	963.116844	842.116844	760.116844	682.116844	582.116844	432.116844	204.116844	-112.883156	-456.883156
0	0	5103	838.000000	1.#INF00	0.000000	0.000000	-359.883156	-229.883156	-231.883156	-325.883156	-407.883156	-458.883156	-535.883156	-643.883156	-715.883156	-694.883156	-599.883156	-497.883156	-457.883156	-495.883156	-562.883156	-578.883156	-490.883156	-325.883156	-167.883156	-87.883156	-79.883156	-76.883156	-38.883156	14.116844	58.116844	97.116844	122.116844	84.116844	-61.883156	-288.883156	-495.883156	-570.883156
0	0	5142	1123.000000	1.#INF00	0.000000	0.000000	-63.883156	-215.883156	-310.883156	-266.883156	-157.883156	-150.883156	-320.883156	-570.883156	-734.883156	-728.883156	-595.883156	-439.883156	-330.883156	-268.883156	-214.883156	-129.883156	-20.883156	84.116844	178.116844	280.116844	368.116844	388.116844	330.116844	250.116844	187.116844	125.116844	54.116844	9.116844	13.116844	58.116844	130.116844	208.116844
