4644	75
-3	-2	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
1	-2	2881188	638.000000	11.000000	58.000000	19.191768	-27.282037	-15.282037	-6.282037	-3.282037	0.717963	0.717963	-14.282037	-43.282037	-82.282037	-141.282037	-206.282037	-269.282037	-334.282037	-365.282037	-373.282037	-347.282037	-293.282037	-233.282037	-137.282037	-41.282037	47.717963	126.717963	184.717963	234.717963	258.717963	264.717963	253.717963	229.717963	200.717963	166.717963	137.717963	102.717963	76.717963	56.717963	50.717963	41.717963	26.717963	25.717963	25.717963	26.717963	28.717963	17.717963	16.717963	18.717963	15.717963	12.717963	-21.282037	-29.282037	-43.282037	-78.282037	-129.282037	-179.282037	-216.282037	-248.282037	-278.282037	-300.282037	-302.282037	-286.282037	-254.282037	-196.282037	-146.282037	-83.282037	-21.282037	49.717963	120.717963	143.717963	170.717963	188.717963	191.717963	178.717963	142.717963	124.717963	107.717963	82.717963	55.717963
1	-2	2881189	983.000000	13.000000	75.615385	20.511330	166.717963	136.717963	108.717963	89.717963	63.717963	41.717963	7.717963	-22.282037	-77.282037	-150.282037	-223.282037	-312.282037	-400.282037	-483.282037	-544.282037	-581.282037	-584.282037	-559.282037	-496.282037	-402.282037	-297.282037	-163.282037	-46.282037	76.717963	184.717963	268.717963	333.717963	372.717963	392.717963	398.717963	383.717963	359.717963	332.717963	301.717963	271.717963	240.717963	208.717963	187.717963	148.717963	126.717963	107.717963	77.717963	56.717963	26.717963	15.717963	1.717963	-18.282037	-33.282037	-37.282037	-48.282037	-49.282037	-51.282037	-52.282037	-41.282037	-40.282037	-24.282037	-21.282037	-21.282037	-12.282037	-11.282037	-17.282037	-23.282037	-27.282037	-28.282037	-26.282037	-32.282037	-27.282037	-22.282037	-16.282037	-7.282037	-10.282037	-14.282037	-13.282037	-5.282037	-6.282037
1	-2	2881197	609.000000	10.000000	60.900000	5.177092	39.717963	21.717963	-0.282037	-8.282037	-15.282037	-34.282037	-40.282037	-57.282037	-68.282037	-92.282037	-144.282037	-198.282037	-250.282037	-287.282037	-319.282037	-330.282037	-312.282037	-260.282037	-197.282037	-130.282037	-28.282037	43.717963	128.717963	189.717963	235.717963	278.717963	267.717963	269.717963	259.717963	231.717963	203.717963	166.717963	147.717963	129.717963	118.717963	94.717963	76.717963	68.717963	86.717963	86.717963	84.717963	89.717963	86.717963	83.717963	60.717963	18.717963	-33.282037	-90.282037	-153.282037	-203.282037	-249.282037	-269.282037	-272.282037	-262.282037	-220.282037	-182.282037	-128.282037	-70.282037	-24.282037	17.717963	34.717963	75.717963	90.717963	93.717963	99.717963	104.717963	121.717963	109.717963	111.717963	115.717963	115.717963	111.717963	103.717963	101.717963	88.717963
1	-2	2881232	969.000000	13.000000	74.538462	23.049392	51.717963	44.717963	37.717963	32.717963	19.717963	20.717963	10.717963	-0.282037	-22.282037	-57.282037	-109.282037	-174.282037	-248.282037	-339.282037	-421.282037	-489.282037	-522.282037	-525.282037	-507.282037	-438.282037	-343.282037	-218.282037	-83.282037	36.717963	159.717963	264.717963	348.717963	402.717963	429.717963	441.717963	443.717963	422.717963	396.717963	369.717963	342.717963	324.717963	298.717963	272.717963	250.717963	220.717963	195.717963	180.717963	149.717963	128.717963	115.717963	106.717963	112.717963	82.717963	77.717963	76.717963	63.717963	52.717963	30.717963	27.717963	27.717963	14.717963	4.717963	-7.282037	-20.282037	-28.282037	-39.282037	-49.282037	-49.282037	-49.282037	-43.282037	-33.282037	-27.282037	-13.282037	-6.282037	1.717963	8.717963	3.717963	2.717963	3.717963	-2.282037
1	-2	2881257	959.000000	13.000000	73.769231	17.581642	-146.282037	-173.282037	-207.282037	-235.282037	-251.282037	-261.282037	-260.282037	-269.282037	-262.282037	-260.282037	-264.282037	-291.282037	-330.282037	-358.282037	-402.282037	-439.282037	-463.282037	-466.282037	-427.282037	-369.282037	-291.282037	-189.282037	-75.282037	52.717963	170.717963	266.717963	352.717963	419.717963	469.717963	490.717963	492.717963	482.717963	468.717963	441.717963	415.717963	384.717963	343.717963	317.717963	285.717963	257.717963	226.717963	182.717963	181.717963	163.717963	142.717963	127.717963	106.717963	113.717963	97.717963	83.717963	80.717963	71.717963	64.717963	59.717963	55.717963	47.717963	42.717963	38.717963	34.717963	25.717963	18.717963	20.717963	13.717963	6.717963	0.717963	-10.282037	-17.282037	-33.282037	-55.282037	-68.282037	-96.282037	-111.282037	-124.282037	-136.282037	-135.282037
1	-2	2881268	895.000000	28.000000	31.964286	11.406031	-183.282037	-246.282037	-307.282037	-379.282037	-448.282037	-518.282037	-565.282037	-592.282037	-606.282037	-591.282037	-571.282037	-528.282037	-463.282037	-390.282037	-318.282037	-242.282037	-164.282037	-79.282037	-4.282037	53.717963	114.717963	157.717963	203.717963	233.717963	245.717963	263.717963	263.717963	273.717963	277.717963	266.717963	268.717963	266.717963	278.717963	286.717963	281.717963	280.717963	288.717963	277.717963	268.717963	249.717963	228.717963	216.717963	193.717963	176.717963	146.717963	125.717963	114.717963	100.717963	76.717963	65.717963	60.717963	57.717963	50.717963	33.717963	26.717963	13.717963	-0.282037	-12.282037	-30.282037	-37.282037	-43.282037	-45.282037	-46.282037	-46.282037	-49.282037	-38.282037	-31.282037	-31.282037	-22.282037	-21.282037	-13.282037	-8.282037	-15.282037	-4.282037	-11.282037
1	-2	2881268	883.000000	25.000000	35.320000	11.583011	-413.282037	-489.282037	-545.282037	-581.282037	-606.282037	-604.282037	-600.282037	-562.282037	-507.282037	-446.282037	-370.282037	-301.282037	-221.282037	-133.282037	-55.282037	14.717963	69.717963	123.717963	174.717963	208.717963	227.717963	238.717963	256.717963	268.717963	271.717963	264.717963	264.717963	275.717963	269.717963	276.717963	272.717963	272.717963	275.717963	264.717963	268.717963	252.717963	231.717963	224.717963	206.717963	184.717963	154.717963	131.717963	118.717963	100.717963	78.717963	66.717963	59.717963	55.717963	49.717963	33.717963	23.717963	16.717963	4.717963	-8.282037	-22.282037	-34.282037	-34.282037	-45.282037	-45.282037	-48.282037	-53.282037	-46.282037	-52.282037	-41.282037	-34.282037	-34.282037	-24.282037	-16.282037	-8.282037	-11.282037	-16.282037	-19.282037	-21.282037	-43.282037	-62.282037
1	-2	2881274	680.000000	12.000000	56.666667	19.363763	-81.282037	-63.282037	-44.282037	-16.282037	7.717963	32.717963	49.717963	74.717963	80.717963	59.717963	32.717963	-31.282037	-102.282037	-183.282037	-261.282037	-320.282037	-357.282037	-357.282037	-319.282037	-259.282037	-173.282037	-71.282037	26.717963	128.717963	207.717963	263.717963	311.717963	320.717963	322.717963	304.717963	273.717963	250.717963	210.717963	190.717963	165.717963	142.717963	135.717963	132.717963	120.717963	114.717963	107.717963	99.717963	95.717963	72.717963	66.717963	46.717963	24.717963	8.717963	-10.282037	-25.282037	-41.282037	-46.282037	-52.282037	-62.282037	-70.282037	-79.282037	-90.282037	-103.282037	-115.282037	-121.282037	-123.282037	-127.282037	-127.282037	-125.282037	-123.282037	-120.282037	-115.282037	-105.282037	-104.282037	-94.282037	-89.282037	-82.282037	-79.282037	-86.282037	-66.282037
1	-2	2881284	908.000000	12.000000	75.666667	19.072612	-66.282037	-74.282037	-81.282037	-78.282037	-87.282037	-94.282037	-98.282037	-113.282037	-132.282037	-178.282037	-225.282037	-287.282037	-364.282037	-438.282037	-493.282037	-525.282037	-540.282037	-513.282037	-454.282037	-367.282037	-263.282037	-153.282037	-19.282037	90.717963	190.717963	265.717963	316.717963	359.717963	367.717963	367.717963	362.717963	341.717963	326.717963	297.717963	273.717963	251.717963	234.717963	211.717963	193.717963	167.717963	153.717963	140.717963	120.717963	112.717963	101.717963	89.717963	89.717963	79.717963	80.717963	77.717963	66.717963	83.717963	81.717963	84.717963	92.717963	93.717963	106.717963	91.717963	77.717963	72.717963	53.717963	35.717963	7.717963	-16.282037	-35.282037	-56.282037	-77.282037	-94.282037	-112.282037	-124.282037	-124.282037	-129.282037	-131.282037	-127.282037	-119.282037
1	-2	2881290	791.000000	13.000000	60.846154	22.505250	-169.282037	-162.282037	-132.282037	-97.282037	-67.282037	-49.282037	-35.282037	-34.282037	-49.282037	-106.282037	-197.282037	-268.282037	-346.282037	-423.282037	-467.282037	-474.282037	-436.282037	-396.282037	-315.282037	-213.282037	-104.282037	1.717963	91.717963	172.717963	229.717963	265.717963	293.717963	314.717963	316.717963	308.717963	303.717963	298.717963	302.717963	290.717963	270.717963	266.717963	258.717963	254.717963	240.717963	212.717963	209.717963	195.717963	178.717963	157.717963	125.717963	108.717963	82.717963	52.717963	27.717963	0.717963	-14.282037	-26.282037	-26.282037	-32.282037	-29.282037	-30.282037	-18.282037	-9.282037	-28.282037	-33.282037	-40.282037	-44.282037	-59.282037	-84.282037	-86.282037	-87.282037	-90.282037	-96.282037	-104.282037	-101.282037	-97.282037	-96.282037	-98.282037	-97.282037	-89.282037
